City (for azimuth),hive,camera,month,day,year,hour,minute,segment,dance found?,segment start time,Pollen forager,dancer.id,cluster.id,runs.measured,points,minX,maxX,meanX,sdX,minY,maxY,meanY,sdY,min_duration.sec,max_duration.sec,mean_duration.sec,sd_duration.sec,minI,maxI,meanI,sdI,minLen,maxLen,meanLen,sdLen,minD2S,maxD2S,meanD2S,sdD2S,minD2R,maxD2R,meanD2R,sdD2R,minD2P,maxD2P,meanD2P,sdD2P,minV,maxV,meanV,sdV,min_angle,max_angle,mean_angle,sd_angle,minDelta,maxDelta,meanDelta,sdDelta,skew,min_angle_corr,max_angle_corr,mean_angle_corr,segment start time,azimuth,heading.degrees,heading.radians,flag,,,,,,,,,
London,FSR,,MAY,5,2015,11,20,FSR_050515_11_41_for_1min.avi,yes,11:41,,2,2,4,8,1090.5,1177.833,1129.917,29.386,479.5,574.833,523,32.737,1.168,1.602,1.393,0.186,89,120,109.625,10.783,40.754,49.284,44.558,4.226,0,49.284,22.279,23.977,NA,NA,NA,NA,40.754,49.284,44.558,4.226,25.747,35.182,32.349,4.457,-3.752,66.903,37.238,30.369,NA,NA,NA,NA,-1,87.248,157.903,128.238,11:41,126.9,255.138,4.452998147,1,,,,,,,,,
London,FSR,,MAY,5,2015,11,20,FSR_050515_11_46_for_1min.avi,yes,11:46,,1,1,4,8,900.5,942.5,917.833,15.261,609.5,684.167,649.083,28.032,1.702,2.503,2.135,0.368,46,89,71,15.062,36.818,59.517,45.504,10.635,0,59.517,22.752,25.3,NA,NA,NA,NA,36.818,59.517,45.504,10.635,19.139,25.123,21.27,2.821,85.503,117.277,100.318,13.444,NA,NA,NA,NA,-1,176.503,208.277,191.318,11:46,128.6,319.918,5.583622436,1,,,,,,,,,
London,FSR,,MAY,5,2015,11,20,FSR_050515_11_46_for_1min.avi,yes,11:46,,2,2,4,8,1145,1171,1158.375,9.117,613.5,683,649.25,24.36,1.368,1.768,1.593,0.171,53,85,70.125,11.874,15.524,33.526,27.316,8.069,0,33.526,13.658,15.527,NA,NA,NA,NA,15.524,33.526,27.316,8.069,11.348,21.378,16.94,4.15,72.646,95.528,82.324,10.56,NA,NA,NA,NA,-1,163.646,186.528,173.324,11:46,128.6,301.924,5.269567891,1,,,,,,,,,
London,FSR,,MAY,5,2015,11,20,FSR_050515_11_46_for_1min.avi,yes,11:46,,3,3,4,8,1212.5,1292.5,1248.917,29.355,441.167,502.5,474.417,19.858,1.802,2.269,2.044,0.213,53,84,71.375,11.759,17.205,49.338,31.762,13.998,0,49.338,15.881,19.293,NA,NA,NA,NA,17.205,49.338,31.762,13.998,9.549,21.745,15.141,5.245,71.075,125.538,89.351,25.559,NA,NA,NA,NA,-1,162.075,216.538,180.351,11:46,128.6,308.951,5.392212177,1,,,,,,,,,
London,FSR,,MAY,5,2015,11,20,FSR_050515_11_46_for_1min.avi,yes,11:46,,4,4,4,8,682.833,811.5,739.917,39.026,399.5,426.833,413.417,9.736,1.268,1.935,1.493,0.303,73,143,104.375,20.375,34.072,58.534,44.638,10.643,0,58.534,22.319,24.857,NA,NA,NA,NA,34.072,58.534,44.638,10.643,25.528,32.632,29.817,3.033,149.421,165.489,157.964,6.706,NA,NA,NA,NA,-1,240.421,256.489,248.964,11:46,128.6,17.564,0.3065496298,1,,,,,,,,,
London,FSR,,MAY,5,2015,11,20,FSR_050515_11_51_for_1min.avi,yes,11:51,,1,1,4,8,400.5,733.833,549.5,124.975,477.5,587.5,544.583,36.873,1.435,1.835,1.677,0.184,79,116,90,12.166,32.728,41.596,37.347,3.962,0,41.596,18.673,20.13,NA,NA,NA,NA,32.728,41.596,37.347,3.962,18.164,27.521,22.628,4.557,77.005,96.442,84.564,8.964,NA,NA,NA,NA,-1,168.005,187.442,175.564,11:51,130.4,305.964,5.340079193,1,,,,,,,,,
London,FSR,,MAY,5,2015,11,20,FSR_050515_11_56_for_1min.avi,yes,11:56,,1,1,4,8,1089,1180,1137.75,31.595,292,348,316.5,18.708,2.636,3.303,2.92,0.279,75,111,92.875,11.507,38.601,60.083,53.594,10.114,0,60.083,26.797,29.402,NA,NA,NA,NA,38.601,60.083,53.594,10.114,14.644,20.938,18.329,3.014,-22.932,-11.689,-17.403,4.655,NA,NA,NA,NA,-1,68.068,79.311,73.597,11:56,132.2,205.797,3.591835241,1,,,,,,,,,
London,FSR,,MAY,5,2015,11,20,FSR_050515_12_01_for_1min.avi,yes,12:01,,1,1,4,8,1186,1212,1200.5,8.928,417,524,479.375,40.476,0.901,2.035,1.627,0.538,64,118,88.625,20.241,20.881,71.344,54.013,23.018,0,71.344,27.006,32.567,NA,NA,NA,NA,20.881,71.344,54.013,23.018,23.177,36.578,32.015,6.047,73.301,94.086,82.238,9.132,NA,NA,NA,NA,-1,164.301,185.086,173.238,12:01,134.1,307.338,5.364060016,1,,,,,,,,,
London,FSR,,MAY,5,2015,11,20,FSR_050515_12_01_for_1min.avi,yes,12:01,,2,2,4,8,975.833,1042.5,1005.417,21.526,223.5,266.833,249.333,13.855,1.935,4.004,3.07,0.859,76,104,88.5,9.871,26.009,43.081,34.106,7.262,0,43.081,17.053,18.84,NA,NA,NA,NA,26.009,43.081,34.106,7.262,8.566,16.147,11.599,3.217,-33.69,-1.469,-20.526,13.656,NA,NA,NA,NA,-1,57.31,89.531,70.474,12:01,134.1,204.574,3.570489864,1,,,,,,,,,
London,FSR,,MAY,5,2015,11,20,FSR_050515_12_06_for_1min.avi,yes,12:06,,1,1,4,8,1149.167,1182.5,1164.583,11.997,371.5,450.167,407.417,25.72,2.202,2.469,2.311,0.12,62,110,89.625,14.918,34.769,47.253,39.638,5.409,0,47.253,19.819,21.481,NA,NA,NA,NA,34.769,47.253,39.638,5.409,15.788,21.137,17.195,2.629,73.61,94.399,83.126,10.184,NA,NA,NA,NA,-1,164.61,185.399,174.126,12:06,136.1,310.226,5.414465125,1,,,,,,,,,
